2024-06-18 18:03:04, CPU Usage: 0.7%, Memory Usage: 35.2%, Disk Usage: 38.5%, Bytes Sent: 12228853, Bytes Received: 127251345
2024-06-18 18:03:14, CPU Usage: 2.2%, Memory Usage: 35.2%, Disk Usage: 38.5%, Bytes Sent: 12230005, Bytes Received: 127251881
2024-06-18 18:29:08, CPU Usage: 0.8%, Memory Usage: 35.8%, Disk Usage: 38.5%, Bytes Sent: 13603093, Bytes Received: 133262011
2024-06-18 18:29:45, CPU Usage: 1.0%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 13626944, Bytes Received: 133282532
2024-06-18 18:29:50, CPU Usage: 0.5%, Memory Usage: 35.4%, Disk Usage: 38.5%, Bytes Sent: 13627624, Bytes Received: 133282832
2024-06-18 18:29:55, CPU Usage: 0.6%, Memory Usage: 35.3%, Disk Usage: 38.5%, Bytes Sent: 13628419, Bytes Received: 133283313
2024-06-18 19:12:38, CPU Usage: 4.3%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 14959358, Bytes Received: 136234121
2024-06-18 19:14:05, CPU Usage: 3.2%, Memory Usage: 36.3%, Disk Usage: 38.5%, Bytes Sent: 14997805, Bytes Received: 136260187
2024-06-18 19:20:48, CPU Usage: 3.0%, Memory Usage: 35.9%, Disk Usage: 38.5%, Bytes Sent: 15292578, Bytes Received: 137586105
2024-06-18 19:20:53, CPU Usage: 0.9%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15293292, Bytes Received: 137586405
2024-06-18 19:20:58, CPU Usage: 0.9%, Memory Usage: 35.8%, Disk Usage: 38.5%, Bytes Sent: 15294223, Bytes Received: 137587426
2024-06-18 19:21:25, CPU Usage: 3.1%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298201, Bytes Received: 137590074
2024-06-18 19:21:26, CPU Usage: 0.6%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298201, Bytes Received: 137590074
2024-06-18 19:21:27, CPU Usage: 0.6%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298201, Bytes Received: 137590074
2024-06-18 19:21:28, CPU Usage: 0.6%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298541, Bytes Received: 137590224
2024-06-18 19:21:29, CPU Usage: 2.4%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298541, Bytes Received: 137590224
2024-06-18 19:21:30, CPU Usage: 0.9%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298541, Bytes Received: 137590224
2024-06-18 19:21:31, CPU Usage: 0.4%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298881, Bytes Received: 137590374
2024-06-18 19:21:32, CPU Usage: 0.5%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298915, Bytes Received: 137590374
2024-06-18 19:21:33, CPU Usage: 0.4%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15298915, Bytes Received: 137590374
2024-06-18 19:21:34, CPU Usage: 0.5%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15299255, Bytes Received: 137590524
2024-06-18 19:21:35, CPU Usage: 0.3%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15299255, Bytes Received: 137590822
2024-06-18 19:21:36, CPU Usage: 0.6%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15299255, Bytes Received: 137590822
2024-06-18 19:21:37, CPU Usage: 0.2%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15299595, Bytes Received: 137590972
2024-06-18 19:21:38, CPU Usage: 0.2%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15299595, Bytes Received: 137590972
2024-06-18 19:21:39, CPU Usage: 0.6%, Memory Usage: 36.0%, Disk Usage: 38.5%, Bytes Sent: 15299595, Bytes Received: 137590972
